name,island,x,y,z,heading,icon
Ken Rosenburg's Office,BEACH,108.80,-813.16,11.04,2.55,lawyer
Rafael's,BEACH,105.17,-1117.22,11.07,4.69,tshirt
Ocean Bay Marina,BEACH,-166.64,-1443.76,11.56,3.50,boatyard
The Pole Position Club,BEACH,110.47,-1493.32,9.91,6.09,strip
Ammu-Nation Ocean Beach,BEACH,-53.93,-1481.91,11.24,3.00,gun
Pay n Spray Ocean Beach,BEACH,-18.68,-1262.94,11.27,0.00,spray
Ocean View Hotel,BEACH,240.62,-1285.84,11.73,2.89,save
Malibu Club,BEACH,493.96,-97.75,11.13,1.56,club
Avery Construction Site,BEACH,243.74,-229.29,11.89,2.60,avery
Diaz Mansion,STARFISH_ISLAND,-281.09,-469.86,11.95,1.60,diaz_mansion
North Point Mall,BEACH,488.52,1122.98,17.23,3.03,mall
InterGlobal Studios,BEACH,19.76,972.32,11.55,3.00,filmstudio
Ammu-Nation Downtown,MAINLAND,-659.21,1194.73,11.78,1.50,gun
V-Rock Recording Studio,MAINLAND,-863.79,1151.79,11.98,3.00,vrock
Hyman Condo,MAINLAND,-862.46,1291.98,12.35,0.00,save
The Greasy Chopper Bar,MAINLAND,-610.77,654.57,12.17,4.79,bikers
El Banco Corrupto Grande,MAINLAND,-869.55,-341.29,11.84,3.10,printworks
Print Works,MAINLAND,-1042.33,-272.42,12.11,4.69,printworks
Cherry Popper Ice Cream Factory,MAINLAND,-848.42,-565.43,11.93,3.25,icecream
Kaufman Cabs,MAINLAND,-1014.52,210.39,12.02,6.10,kcabs
Auntie Poulet House,MAINLAND,-942.82,123.29,10.16,3.06,haitians
Phil's Place,MAINLAND,-998.42,307.88,12.14,5.80,phil
Sunshine Autos,MAINLAND,-1026.67,-904.00,14.86,7.00,sunyard
Cafe Robina,MAINLAND,-1165.60,-590.14,11.47,1.70,cubans
Escobar International Airport,MAINLAND,-1457.76,-827.05,15.70,3.94,map_here
Viceport Boatyard,MAINLAND,-697.59,-1485.25,11.88,5.78,boatyard
